ExpenditureID,Type,Date,Amount,DueDate,MaintenanceID,StaffID,FurnitureID
55096,Furniture,2020-10-25,830.04,2020-11-06,null,null,12669
55097,Maintenance,2016-05-10,1086.64,2016-06-17,2314,null,null
55098,Wages,2015-11-23,105797,2015-12-26,null,211,null
55099,Furniture,2015-12-22,637.72,2016-01-03,null,null,13418
55100,Furniture,2018-12-03,817.51,2018-12-25,null,null,10425
55101,Maintenance,2017-01-07,398.17,2017-02-25,2644,null,null
55102,Furniture,2019-01-13,726.98,2019-02-20,null,null,13009
55103,Furniture,2016-03-14,875.33,2016-04-03,null,null,13397
55104,Maintenance,2016-11-13,939.42,2016-11-23,1710,null,null
55105,Maintenance,2019-07-06,1625.72,2019-08-10,1735,null,null
55106,Maintenance,2020-09-19,1164.21,2020-11-18,1833,null,null
55107,Furniture,2020-02-04,510.95,2020-02-29,null,null,13654
55108,Furniture,2019-04-02,576.91,2019-04-18,null,null,12400
55109,Maintenance,2016-03-25,1625.36,2016-04-05,2608,null,null
55110,Furniture,2015-11-30,502.89,2015-12-18,null,null,13257
55111,Maintenance,2019-06-16,1583.25,2019-08-12,1594,null,null
55112,Furniture,2016-10-23,533.09,2016-12-19,null,null,12075
55113,Wages,2016-05-23,109543,2016-07-05,null,302,null
55114,Maintenance,2018-06-29,445.35,2018-08-15,2705,null,null
55115,Wages,2015-12-30,79403,2016-01-23,null,202,null
55116,Furniture,2016-10-19,581.23,2016-12-18,null,null,11439
55117,Wages,2017-05-22,94591,2017-06-05,null,192,null
55118,Wages,2019-05-15,50118,2019-06-03,null,109,null
55119,Furniture,2016-06-04,633.74,2016-06-16,null,null,10925
55120,Maintenance,2016-10-24,107.91,2016-12-16,2462,null,null
55121,Maintenance,2019-12-19,1533.34,2020-01-12,1273,null,null
55122,Maintenance,2019-06-11,1654.52,2019-08-03,1274,null,null
55123,Maintenance,2018-04-03,881.92,2018-04-20,2646,null,null
55124,Furniture,2017-11-25,801.31,2017-12-21,null,null,11219
55125,Wages,2020-02-24,27265,2020-03-19,null,120,null
55126,Maintenance,2018-08-23,1908.3,2018-09-14,2433,null,null
55127,Wages,2019-02-19,29214,2019-04-16,null,207,null
55128,Maintenance,2016-12-22,678.21,2017-02-14,1241,null,null
55129,Wages,2019-07-04,49142,2019-08-29,null,241,null
55130,Wages,2020-10-18,144136,2020-12-12,null,102,null
55131,Wages,2019-10-11,134750,2019-11-07,null,104,null
55132,Maintenance,2019-08-09,1975.95,2019-10-01,1208,null,null
55133,Furniture,2018-08-18,936.26,2018-09-05,null,null,13746
55134,Maintenance,2020-01-06,208.77,2020-02-15,2714,null,null
55135,Wages,2018-03-18,39259,2018-05-08,null,217,null
55136,Furniture,2018-05-17,505.96,2018-07-06,null,null,12007
55137,Maintenance,2018-01-12,1204.19,2018-02-26,1986,null,null
55138,Wages,2020-07-02,56226,2020-08-24,null,306,null
55139,Furniture,2017-12-06,700.82,2017-12-30,null,null,13615
55140,Wages,2017-03-08,36282,2017-04-07,null,180,null
55141,Wages,2018-02-16,94554,2018-04-12,null,231,null
55142,Maintenance,2020-01-23,227.61,2020-02-14,1785,null,null
55143,Furniture,2016-03-10,603.76,2016-05-01,null,null,11288
55144,Maintenance,2016-04-06,1482.43,2016-04-20,2940,null,null
55145,Wages,2020-06-11,96673,2020-07-12,null,183,null
55146,Maintenance,2018-10-01,1257.31,2018-11-18,2827,null,null
55147,Furniture,2020-05-15,588.39,2020-07-08,null,null,11394
55148,Wages,2019-06-14,41454,2019-06-26,null,110,null
55149,Furniture,2017-01-16,809.91,2017-02-16,null,null,11580
55150,Wages,2018-05-26,79587,2018-06-05,null,293,null
55151,Maintenance,2016-03-20,1202.1,2016-03-31,2451,null,null
55152,Wages,2019-04-28,54315,2019-06-09,null,293,null
55153,Maintenance,2017-12-06,483.85,2017-12-25,1779,null,null
55154,Furniture,2020-05-23,943.71,2020-06-03,null,null,13839
55155,Wages,2018-04-05,61574,2018-06-04,null,313,null
55156,Maintenance,2019-05-10,1884.09,2019-05-21,1652,null,null
55157,Furniture,2019-10-25,670.08,2019-11-23,null,null,11128
55158,Maintenance,2019-07-07,1082.67,2019-07-19,2397,null,null
55159,Furniture,2017-11-25,978.97,2018-01-06,null,null,12585
55160,Maintenance,2019-09-13,341.17,2019-09-23,2517,null,null
55161,Wages,2020-01-01,68414,2020-01-21,null,177,null
55162,Furniture,2019-03-13,639.57,2019-03-23,null,null,10795
55163,Furniture,2020-06-03,900.93,2020-07-16,null,null,12639
55164,Furniture,2016-04-29,588.91,2016-05-23,null,null,10253
55165,Maintenance,2016-01-02,180,2016-01-16,2597,null,null
55166,Maintenance,2017-02-04,320.32,2017-03-05,2866,null,null
55167,Maintenance,2016-08-02,310.14,2016-09-19,2484,null,null
55168,Furniture,2019-11-13,762.02,2019-12-01,null,null,11470
55169,Furniture,2020-08-17,767.99,2020-09-06,null,null,13221
55170,Furniture,2017-04-07,563.24,2017-05-16,null,null,11504
55171,Furniture,2019-08-22,841.28,2019-10-19,null,null,10332
55172,Maintenance,2020-01-01,856.66,2020-01-11,1078,null,null
55173,Furniture,2020-06-10,581.98,2020-07-05,null,null,11666
55174,Furniture,2017-12-21,741.99,2018-01-16,null,null,11899
55175,Wages,2016-04-24,110692,2016-06-18,null,236,null
55176,Maintenance,2017-03-22,1325.28,2017-05-20,2054,null,null
55177,Wages,2017-09-28,31384,2017-11-05,null,274,null
55178,Maintenance,2020-10-01,1575.15,2020-10-24,2525,null,null
55179,Wages,2016-04-11,51093,2016-05-26,null,107,null
55180,Furniture,2017-07-15,972.89,2017-09-12,null,null,10363
55181,Wages,2019-08-17,133198,2019-10-15,null,303,null
55182,Wages,2020-01-16,108121,2020-02-16,null,106,null
55183,Furniture,2020-10-26,822.12,2020-12-03,null,null,11147
55184,Wages,2019-06-10,109473,2019-08-03,null,164,null
55185,Furniture,2017-05-31,539.07,2017-07-25,null,null,12852
55186,Wages,2016-04-20,35554,2016-05-24,null,307,null
55187,Wages,2018-10-13,93803,2018-10-27,null,204,null
55188,Maintenance,2017-07-09,1547.48,2017-07-30,1918,null,null
55189,Maintenance,2016-07-16,1196.26,2016-07-27,1471,null,null
55190,Wages,2018-10-16,104843,2018-11-22,null,259,null
55191,Maintenance,2017-03-29,1254.68,2017-05-07,1782,null,null
55192,Maintenance,2016-12-19,792.21,2017-01-08,1278,null,null
55193,Wages,2019-08-30,62181,2019-10-07,null,152,null
55194,Maintenance,2020-03-31,441.68,2020-05-16,1186,null,null
55195,Wages,2016-05-09,73492,2016-05-25,null,274,null
55196,Furniture,2018-07-06,589.56,2018-08-15,null,null,13596
55197,Wages,2018-12-22,130557,2019-02-16,null,298,null
55198,Wages,2019-02-24,137368,2019-03-25,null,238,null
55199,Furniture,2016-08-03,648.75,2016-09-13,null,null,10479
55200,Furniture,2020-07-28,982.93,2020-09-05,null,null,13251
55201,Maintenance,2020-02-17,836.65,2020-03-24,2284,null,null
55202,Furniture,2019-03-13,785.83,2019-05-02,null,null,11096
55203,Maintenance,2020-10-03,274.62,2020-11-04,1263,null,null
55204,Wages,2016-12-17,139793,2017-01-06,null,284,null
55205,Maintenance,2016-06-18,1604.13,2016-08-02,1630,null,null
55206,Maintenance,2017-07-08,789.13,2017-08-23,1640,null,null
55207,Maintenance,2020-04-30,882.84,2020-05-29,1472,null,null
55208,Wages,2016-06-24,59651,2016-07-24,null,130,null
55209,Furniture,2017-01-11,805.12,2017-02-08,null,null,11039
55210,Furniture,2017-01-27,997.14,2017-03-15,null,null,13560
55211,Furniture,2018-06-15,825.7,2018-08-11,null,null,13126
55212,Furniture,2017-06-05,625.74,2017-07-19,null,null,10432
55213,Maintenance,2020-10-29,1469.9,2020-12-06,2192,null,null
55214,Maintenance,2020-02-20,266.53,2020-03-06,2201,null,null
55215,Wages,2017-12-16,78114,2018-01-05,null,305,null
55216,Furniture,2016-10-23,866.12,2016-12-14,null,null,12247
55217,Maintenance,2016-02-09,361.67,2016-02-23,1808,null,null
55218,Furniture,2017-09-17,727.22,2017-09-29,null,null,13929
55219,Maintenance,2016-01-02,1339.09,2016-02-14,2429,null,null
55220,Furniture,2018-09-06,741.25,2018-09-30,null,null,10445
55221,Furniture,2020-06-11,731.4,2020-07-26,null,null,13100
55222,Furniture,2016-11-13,973.23,2016-12-21,null,null,11529
55223,Wages,2016-01-09,113300,2016-03-05,null,107,null
55224,Maintenance,2018-08-30,1426.93,2018-10-02,1862,null,null
55225,Wages,2019-05-14,32799,2019-07-06,null,100,null
55226,Wages,2018-11-27,84245,2019-01-06,null,174,null
55227,Furniture,2019-05-06,795.93,2019-05-16,null,null,11885
55228,Wages,2016-08-05,84869,2016-08-29,null,101,null
55229,Furniture,2018-03-23,616.31,2018-05-04,null,null,12764
55230,Wages,2018-10-11,77906,2018-10-28,null,191,null
55231,Furniture,2020-08-25,536.36,2020-09-06,null,null,12120
55232,Furniture,2016-07-12,701.47,2016-09-07,null,null,14031
55233,Furniture,2019-03-15,842.06,2019-05-11,null,null,13968
55234,Maintenance,2018-02-06,588.43,2018-03-15,2347,null,null
55235,Furniture,2018-11-27,985.45,2018-12-28,null,null,12041
55236,Maintenance,2018-11-22,1624.51,2019-01-12,2004,null,null
55237,Wages,2016-08-03,143584,2016-08-22,null,202,null
55238,Maintenance,2020-05-22,568.05,2020-06-30,2849,null,null
55239,Furniture,2018-08-26,795.64,2018-10-03,null,null,11520
55240,Furniture,2019-11-03,767.8,2019-12-21,null,null,12239
55241,Furniture,2018-02-12,724.82,2018-03-28,null,null,13369
55242,Wages,2016-01-02,115793,2016-02-04,null,111,null
55243,Wages,2017-01-31,126310,2017-02-13,null,283,null
55244,Wages,2020-02-18,80220,2020-03-29,null,165,null
55245,Furniture,2019-12-29,754.34,2020-02-22,null,null,14053
55246,Furniture,2016-03-28,579.7,2016-05-10,null,null,10275
55247,Maintenance,2019-03-03,1106.06,2019-04-27,2233,null,null
55248,Wages,2017-07-23,135040,2017-08-28,null,119,null
55249,Furniture,2019-10-17,957.36,2019-11-02,null,null,11836
55250,Furniture,2020-02-24,672.01,2020-03-31,null,null,12882
55251,Wages,2016-07-23,108739,2016-08-17,null,107,null
55252,Wages,2019-04-08,132113,2019-05-26,null,100,null
55253,Furniture,2018-02-17,939.73,2018-04-07,null,null,10934
55254,Maintenance,2020-07-05,139.15,2020-09-03,2579,null,null
55255,Maintenance,2020-09-16,1227.29,2020-10-30,1941,null,null
55256,Wages,2020-06-15,131501,2020-07-05,null,228,null
55257,Furniture,2018-04-19,770.27,2018-05-03,null,null,10477
55258,Furniture,2018-10-10,651.44,2018-12-05,null,null,10215
55259,Wages,2016-09-22,48061,2016-10-25,null,291,null
55260,Maintenance,2019-11-07,1200.33,2020-01-04,2013,null,null
55261,Furniture,2017-09-04,829.35,2017-10-22,null,null,11452
55262,Wages,2016-10-24,93428,2016-12-01,null,205,null
55263,Maintenance,2017-11-09,715.26,2017-12-18,1230,null,null
55264,Maintenance,2019-01-27,1537.12,2019-03-14,2823,null,null
55265,Wages,2018-10-03,31523,2018-11-25,null,221,null
55266,Furniture,2018-04-17,872.93,2018-04-27,null,null,13134
55267,Furniture,2019-09-04,568.68,2019-10-15,null,null,11930
55268,Wages,2018-08-05,77653,2018-09-07,null,191,null
55269,Wages,2018-08-17,122311,2018-09-29,null,122,null
55270,Maintenance,2016-09-01,1836.51,2016-10-06,2967,null,null
55271,Maintenance,2019-04-07,934.89,2019-05-04,1800,null,null
55272,Wages,2016-04-08,43080,2016-05-30,null,211,null
55273,Furniture,2018-06-29,795.25,2018-08-04,null,null,11849
55274,Furniture,2020-10-30,653.65,2020-11-20,null,null,12586
55275,Wages,2020-05-22,47340,2020-07-11,null,270,null
55276,Wages,2017-09-06,27672,2017-09-30,null,255,null
55277,Wages,2016-09-01,135281,2016-09-30,null,110,null
55278,Wages,2020-05-08,117829,2020-05-25,null,271,null
55279,Furniture,2020-04-20,606.82,2020-05-04,null,null,10287
55280,Furniture,2016-10-29,738.5,2016-12-24,null,null,12576
55281,Maintenance,2016-10-02,991.51,2016-10-18,1196,null,null
55282,Furniture,2019-02-01,638.68,2019-03-18,null,null,14128
55283,Maintenance,2017-11-15,501.01,2017-12-02,1645,null,null
55284,Maintenance,2017-08-24,1689.27,2017-09-05,1263,null,null
55285,Furniture,2016-11-06,516.89,2017-01-02,null,null,13406
55286,Furniture,2019-08-28,586.11,2019-09-08,null,null,13137
55287,Furniture,2015-11-17,625.61,2015-12-16,null,null,12608
55288,Wages,2019-10-28,102143,2019-12-25,null,180,null
55289,Furniture,2020-06-19,549.42,2020-07-03,null,null,12301
55290,Maintenance,2020-04-15,1735.56,2020-05-04,1406,null,null
55291,Maintenance,2019-01-10,1634.2,2019-02-25,1327,null,null
55292,Wages,2016-02-21,107583,2016-04-20,null,309,null
55293,Maintenance,2020-04-29,372.12,2020-05-27,2492,null,null
55294,Maintenance,2017-06-09,1263.96,2017-06-28,1764,null,null
55295,Wages,2020-02-05,55531,2020-03-09,null,237,null
55296,Maintenance,2019-08-06,305.71,2019-09-12,2899,null,null
55297,Maintenance,2016-05-01,1193.84,2016-06-05,1366,null,null
55298,Furniture,2020-06-20,861.89,2020-07-19,null,null,14178
55299,Furniture,2017-05-08,726.39,2017-07-04,null,null,10252
55300,Furniture,2017-08-20,653.35,2017-09-04,null,null,13203
55301,Maintenance,2016-08-30,586.42,2016-10-05,2836,null,null
55302,Maintenance,2019-03-06,1596.88,2019-03-30,2036,null,null
55303,Furniture,2017-02-25,803.47,2017-04-20,null,null,11751
55304,Maintenance,2017-04-08,1391.33,2017-05-30,1959,null,null
55305,Wages,2019-08-18,117257,2019-09-11,null,222,null
55306,Wages,2019-08-26,38783,2019-09-25,null,196,null
55307,Maintenance,2019-11-18,1302.49,2019-12-29,1329,null,null
55308,Furniture,2016-04-25,657.48,2016-06-21,null,null,13222
55309,Furniture,2019-04-26,908.98,2019-05-15,null,null,12961
55310,Furniture,2015-12-30,668.07,2016-02-14,null,null,13549
55311,Furniture,2020-02-13,835.77,2020-03-07,null,null,11182
55312,Maintenance,2019-04-19,1396.28,2019-05-08,1334,null,null
55313,Maintenance,2015-12-06,1893.99,2015-12-17,1932,null,null
55314,Wages,2019-06-24,127783,2019-07-18,null,136,null
55315,Maintenance,2019-03-17,376.73,2019-04-25,1806,null,null
55316,Maintenance,2019-06-19,1373.23,2019-07-04,2033,null,null
55317,Furniture,2019-06-29,870.67,2019-08-02,null,null,12012
55318,Wages,2020-09-13,40158,2020-10-10,null,186,null
55319,Furniture,2016-03-21,559.08,2016-04-16,null,null,12502
55320,Maintenance,2017-11-10,261.75,2018-01-04,2609,null,null
55321,Wages,2019-01-04,59666,2019-02-27,null,113,null
55322,Maintenance,2019-10-03,168.76,2019-10-23,1477,null,null
55323,Furniture,2018-04-27,765.38,2018-05-09,null,null,13502
55324,Maintenance,2016-05-11,1875.63,2016-06-23,2641,null,null
55325,Maintenance,2019-10-23,1903.6,2019-11-03,2885,null,null
55326,Wages,2017-06-12,106510,2017-07-20,null,219,null
55327,Furniture,2020-01-21,888.59,2020-03-12,null,null,13170
55328,Maintenance,2016-01-04,1894.68,2016-02-01,2075,null,null
55329,Maintenance,2017-05-06,413.04,2017-06-20,1161,null,null
55330,Furniture,2019-01-21,502.37,2019-03-04,null,null,13622
55331,Wages,2018-07-06,75299,2018-07-31,null,252,null
55332,Maintenance,2020-09-12,554.04,2020-10-08,2965,null,null
55333,Furniture,2020-11-15,961.86,2021-01-01,null,null,11053
55334,Wages,2017-08-08,49715,2017-10-03,null,284,null
55335,Maintenance,2016-09-09,1841.55,2016-11-08,1487,null,null
55336,Wages,2020-01-21,95312,2020-02-24,null,100,null
55337,Maintenance,2018-03-25,318.57,2018-04-29,1794,null,null
55338,Maintenance,2016-09-12,344.81,2016-10-29,2778,null,null
55339,Furniture,2016-07-21,973.21,2016-08-24,null,null,11992
55340,Wages,2018-02-03,48821,2018-04-01,null,149,null
55341,Wages,2016-10-17,41816,2016-11-05,null,197,null
55342,Maintenance,2018-03-31,579.11,2018-05-29,2782,null,null
55343,Maintenance,2017-04-13,1650.9,2017-05-01,1399,null,null
55344,Furniture,2018-02-28,709.6,2018-04-27,null,null,10852
55345,Furniture,2017-05-02,680.19,2017-06-30,null,null,12899
55346,Furniture,2016-03-11,868.4,2016-04-26,null,null,13305
55347,Furniture,2019-07-11,699.55,2019-08-19,null,null,12248
55348,Wages,2016-11-30,64304,2017-01-16,null,156,null
55349,Maintenance,2016-01-11,1577.21,2016-02-11,1620,null,null
55350,Wages,2017-12-27,83584,2018-01-24,null,307,null
55351,Wages,2019-07-16,103230,2019-09-05,null,132,null
55352,Wages,2019-09-27,141803,2019-11-22,null,186,null
55353,Furniture,2019-05-04,537.35,2019-05-21,null,null,10903
55354,Wages,2019-09-02,25439,2019-10-06,null,130,null
55355,Furniture,2016-09-12,730.58,2016-10-20,null,null,12065
55356,Wages,2019-04-05,46271,2019-04-27,null,141,null
55357,Furniture,2020-01-18,798.65,2020-02-10,null,null,12374
55358,Wages,2016-10-07,145701,2016-10-25,null,303,null
55359,Furniture,2017-11-01,714.61,2017-12-06,null,null,10988
55360,Furniture,2019-03-26,901.32,2019-05-11,null,null,10603
55361,Furniture,2016-05-04,616.3,2016-06-28,null,null,11800
55362,Furniture,2018-07-29,665.16,2018-08-27,null,null,11977
55363,Furniture,2018-09-20,597.59,2018-10-27,null,null,13610
55364,Wages,2016-03-19,79637,2016-04-21,null,185,null
55365,Wages,2016-07-16,88241,2016-08-27,null,295,null
55366,Maintenance,2015-11-24,1597.68,2016-01-05,2067,null,null
55367,Wages,2017-09-02,99222,2017-10-18,null,209,null
55368,Wages,2016-12-03,42399,2017-01-21,null,308,null
55369,Furniture,2017-02-11,516.79,2017-03-15,null,null,13515
55370,Maintenance,2018-09-23,264.73,2018-11-05,1303,null,null
55371,Maintenance,2019-06-30,1733.06,2019-07-31,2990,null,null
55372,Maintenance,2018-04-14,438.9,2018-05-12,1911,null,null
55373,Maintenance,2018-12-20,1124.1,2019-02-03,2779,null,null
55374,Maintenance,2016-12-12,822.72,2016-12-25,2013,null,null
55375,Furniture,2018-09-09,594.34,2018-10-31,null,null,10526
55376,Wages,2020-02-05,44757,2020-04-02,null,273,null
55377,Furniture,2017-06-03,614.28,2017-07-10,null,null,12973
55378,Maintenance,2018-02-22,1209.94,2018-04-23,1935,null,null
55379,Maintenance,2019-01-10,1111.06,2019-01-28,1258,null,null
55380,Furniture,2019-11-26,651.43,2019-12-16,null,null,13176
55381,Maintenance,2018-11-08,2000.18,2018-12-27,2162,null,null
55382,Furniture,2018-09-30,623.14,2018-10-29,null,null,12597
55383,Wages,2016-07-31,54079,2016-09-10,null,126,null
55384,Furniture,2019-01-10,551.48,2019-02-05,null,null,12754
55385,Maintenance,2017-02-14,294.13,2017-04-05,1321,null,null
55386,Wages,2018-03-13,91543,2018-03-23,null,108,null
55387,Wages,2018-12-20,132543,2019-01-05,null,290,null
55388,Wages,2016-01-13,78911,2016-03-12,null,118,null
55389,Wages,2015-12-18,97488,2016-02-16,null,180,null
55390,Maintenance,2020-07-20,1633.05,2020-09-10,1711,null,null
55391,Wages,2018-05-07,143660,2018-05-19,null,283,null
55392,Wages,2017-07-29,139504,2017-09-12,null,229,null
55393,Furniture,2020-04-30,784.21,2020-05-31,null,null,11786
55394,Maintenance,2017-09-01,1057.26,2017-09-29,2072,null,null
55395,Furniture,2018-04-25,672.06,2018-05-10,null,null,10401
55396,Furniture,2017-03-19,656.48,2017-05-16,null,null,11064
55397,Furniture,2019-01-23,783.26,2019-02-02,null,null,11949
55398,Maintenance,2016-02-29,925.25,2016-03-22,1713,null,null
55399,Furniture,2019-07-24,588.89,2019-08-31,null,null,10941
55400,Maintenance,2018-02-02,1194.87,2018-03-06,2532,null,null
55401,Wages,2020-08-04,95512,2020-10-03,null,158,null
55402,Wages,2018-05-30,50607,2018-07-11,null,244,null
55403,Furniture,2020-11-10,583.38,2020-12-07,null,null,11325
55404,Maintenance,2016-02-13,732.49,2016-04-07,2073,null,null
55405,Furniture,2020-07-25,914.34,2020-09-08,null,null,13928
55406,Wages,2016-02-12,77094,2016-04-02,null,134,null
55407,Wages,2020-08-12,111932,2020-10-03,null,232,null
55408,Wages,2020-09-22,107327,2020-11-11,null,184,null
55409,Wages,2019-12-11,25530,2020-01-06,null,242,null
55410,Furniture,2019-07-06,584.33,2019-08-04,null,null,12449
55411,Maintenance,2020-03-17,1405.02,2020-03-28,2349,null,null
55412,Wages,2019-06-27,144224,2019-08-16,null,238,null
55413,Maintenance,2020-10-16,1592.04,2020-12-06,1903,null,null
55414,Maintenance,2019-04-27,1693.85,2019-06-10,2825,null,null
55415,Maintenance,2020-10-30,899.27,2020-12-17,2250,null,null
55416,Wages,2018-10-15,85809,2018-12-09,null,158,null
55417,Wages,2019-11-04,68478,2019-12-23,null,270,null
55418,Wages,2017-02-08,118714,2017-04-07,null,309,null
55419,Maintenance,2020-11-12,1789.96,2021-01-05,2170,null,null
55420,Maintenance,2020-03-09,1786.94,2020-05-07,1671,null,null
55421,Maintenance,2020-01-24,273.22,2020-03-17,2572,null,null
55422,Wages,2018-08-01,87827,2018-09-20,null,133,null
55423,Wages,2019-06-17,47218,2019-08-09,null,232,null
55424,Furniture,2019-05-07,933.09,2019-05-27,null,null,13859
55425,Furniture,2016-03-18,748.34,2016-04-12,null,null,11336
55426,Furniture,2017-05-13,644.11,2017-05-24,null,null,12902
55427,Maintenance,2018-03-25,929.72,2018-04-20,2958,null,null
55428,Maintenance,2019-08-17,1544.76,2019-09-12,2912,null,null
